tagName,competitionTitle
最高首獎,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
短片競賽,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
影片競賽,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
手機短片,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
學生競賽,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
神片競賽,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
手機拍攝,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
生活影像,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
美景旅遊,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
美食品嘗,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
寵物相處,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
台灣探索,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
影片製作,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
獎項公告,2024神腦手機直式短片競賽－首獎20萬徵求90秒短片
攝影比賽,2024新北校園廣告人「開拍!新北市」
影片比賽,2024新北校園廣告人「開拍!新北市」
攝影,2024新北校園廣告人「開拍!新北市」
拍攝,2024新北校園廣告人「開拍!新北市」
競賽,2024新北校園廣告人「開拍!新北市」
學生競賽,2024新北校園廣告人「開拍!新北市」
學生,2024新北校園廣告人「開拍!新北市」
創作,2024新北校園廣告人「開拍!新北市」
抽獎,2024新北校園廣告人「開拍!新北市」
國內,2024新北校園廣告人「開拍!新北市」
創意,2024新北校園廣告人「開拍!新北市」
政府主辦,2024新北校園廣告人「開拍!新北市」
大學,2024新北校園廣告人「開拍!新北市」
青少年,2024新北校園廣告人「開拍!新北市」
影片,2024新北校園廣告人「開拍!新北市」
廣告,2024新北校園廣告人「開拍!新北市」
高中,2024新北校園廣告人「開拍!新北市」
青年影像創作,2024新北校園廣告人「開拍!新北市」
新北校園廣告,2024新北校園廣告人「開拍!新北市」
創意影片徵件活動,2024新北校園廣告人「開拍!新北市」
城市行銷,2024新北校園廣告人「開拍!新北市」
资格文件,2024新北校園廣告人「開拍!新北市」
影音履历,2024新北校園廣告人「開拍!新北市」
YouTube链接,2024新北校園廣告人「開拍!新北市」
影像工作坊,2024新北校園廣告人「開拍!新北市」
社群行銷獎,2024新北校園廣告人「開拍!新北市」
MacBook,2024新北校園廣告人「開拍!新北市」
企劃競賽,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
兒童,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
國小,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
學生競賽,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
學生,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
資格限制,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
青少年,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
青年,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
大學,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
創意,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
公益,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
國內,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
競賽,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
羅慧夫,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
大專生,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
行銷提案,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
行銷競賽,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
繪本教案,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
繪本,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
2024,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
企劃競賽,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
企劃,帶孩子去跨書：全國青年公益提案暨小學生創意行動競賽
平面設計比賽,「淨零Real生活」創意徵稿活動
影片比賽,「淨零Real生活」創意徵稿活動
創意寫作,「淨零Real生活」創意徵稿活動
政府主辦,「淨零Real生活」創意徵稿活動
短片,「淨零Real生活」創意徵稿活動
網路票選,「淨零Real生活」創意徵稿活動
抽獎,「淨零Real生活」創意徵稿活動
學生競賽,「淨零Real生活」創意徵稿活動
繪畫比賽,2024第十三屆健豪盃設計大賽
平面設計比賽,2024第十三屆健豪盃設計大賽
綜合設計,2024第十三屆健豪盃設計大賽
設計,2024第十三屆健豪盃設計大賽
繪畫,2024第十三屆健豪盃設計大賽
創意,2024第十三屆健豪盃設計大賽
插畫,2024第十三屆健豪盃設計大賽
藝術,2024第十三屆健豪盃設計大賽
創作,2024第十三屆健豪盃設計大賽
學生競賽,2024第十三屆健豪盃設計大賽
競賽,2024第十三屆健豪盃設計大賽
高中,2024第十三屆健豪盃設計大賽
大學,2024第十三屆健豪盃設計大賽
設計競賽,2024第十三屆健豪盃設計大賽
健豪盃設計大賽,2024第十三屆健豪盃設計大賽
健豪印刷,2024第十三屆健豪盃設計大賽
優秀作品,2024第十三屆健豪盃設計大賽
台灣設計的軟實力,2024第十三屆健豪盃設計大賽
培育優良創意種子,2024第十三屆健豪盃設計大賽
單位主辦單位,2024第十三屆健豪盃設計大賽
參賽資格,2024第十三屆健豪盃設計大賽
競賽組別,2024第十三屆健豪盃設計大賽
競賽類別,2024第十三屆健豪盃設計大賽
綜合設計,2024 明新盃短影音行銷大賽
影片比賽,2024 明新盃短影音行銷大賽
創業競賽,2024 明新盃短影音行銷大賽
影片比賽,2024 明新盃短影音行銷大賽
企劃競賽,2024 明新盃短影音行銷大賽
學生競賽,2024 明新盃短影音行銷大賽
影片,2024 明新盃短影音行銷大賽
短片,2024 明新盃短影音行銷大賽
高中,2024 明新盃短影音行銷大賽
大學,2024 明新盃短影音行銷大賽
社會人士,2024 明新盃短影音行銷大賽
創意,2024 明新盃短影音行銷大賽
